,cuntan,wulong,maoping,ThreeGRes,yichang,shashi,chenglingji,chenglingji7,DJKRes,DragonKT,hankou,jiujiang,hukou,datong
9528,6240.0,177.0,0.0,0.0,6990.0,6650.0,0.0,1930.0,990.0,0.0,9310.0,9390.0,649.0,11300.0
9529,7080.0,249.0,0.0,6700.0,6660.0,7010.0,0.0,1170.0,494.0,0.0,8620.0,8700.0,394.0,9600.0
9530,6540.0,415.0,0.0,6800.0,6800.0,6970.0,0.0,2230.0,372.0,0.0,8890.0,8750.0,1070.0,10200.0
9531,6930.0,1100.0,0.0,0.0,7040.0,6790.0,0.0,1460.0,290.0,0.0,9330.0,9400.0,2040.0,11400.0
9532,12500.0,2300.0,0.0,15400.0,11300.0,11000.0,0.0,13800.0,1000.0,0.0,29100.0,28300.0,9330.0,36600.0
9533,10800.0,1540.0,0.0,0.0,17000.0,13000.0,0.0,4060.0,893.0,0.0,19000.0,19700.0,2640.0,22600.0
9534,5760.0,165.0,0.0,0.0,6800.0,7260.0,0.0,1460.0,513.0,0.0,8910.0,9080.0,378.0,9950.0
9535,6100.0,407.0,0.0,0.0,6770.0,6970.0,0.0,2010.0,1000.0,0.0,10100.0,10700.0,1620.0,12400.0
9536,9140.0,300.0,0.0,0.0,7580.0,6960.0,0.0,1460.0,1710.0,0.0,9840.0,11000.0,466.0,12600.0
9537,4110.0,527.0,0.0,0.0,6100.0,6450.0,0.0,8270.0,1270.0,0.0,16100.0,17100.0,2060.0,19200.0
9538,4830.0,366.0,0.0,5700.0,6780.0,6700.0,0.0,8380.0,1510.0,0.0,14300.0,15200.0,6250.0,20600.0
9539,6090.0,258.0,0.0,0.0,7090.0,7030.0,0.0,1290.0,203.0,0.0,8640.0,9100.0,928.0,9980.0
9540,5550.0,177.0,0.0,0.0,6680.0,7020.0,0.0,1460.0,337.0,0.0,8940.0,9110.0,397.0,8720.0
9541,13500.0,1790.0,0.0,0.0,16800.0,15400.0,0.0,7740.0,1860.0,0.0,23700.0,25400.0,8110.0,35100.0
9542,4620.0,602.0,0.0,0.0,9420.0,8330.0,0.0,7220.0,377.0,0.0,17300.0,17800.0,3100.0,21500.0
9543,6620.0,178.0,0.0,0.0,7690.0,6930.0,0.0,1300.0,389.0,0.0,8670.0,8990.0,602.0,9570.0
9544,8050.0,300.0,0.0,0.0,7600.0,7160.0,0.0,1950.0,1450.0,0.0,11700.0,12100.0,604.0,13400.0
9545,6230.0,1160.0,0.0,0.0,6940.0,6700.0,0.0,7070.0,280.0,0.0,13300.0,14300.0,7150.0,21300.0
9546,12400.0,699.0,0.0,13800.0,16600.0,14600.0,0.0,5230.0,1200.0,0.0,19200.0,21200.0,4540.0,26700.0
9547,19900.0,2100.0,0.0,0.0,21200.0,17900.0,0.0,20600.0,572.0,0.0,40700.0,37000.0,26500.0,58000.0
9548,5860.0,399.0,0.0,6700.0,6800.0,6790.0,0.0,2570.0,513.0,0.0,9240.0,8970.0,2530.0,9330.0
9549,4830.0,1830.0,0.0,0.0,7340.0,7490.0,0.0,8820.0,1840.0,0.0,18300.0,18800.0,4880.0,23500.0
9550,15600.0,2460.0,0.0,18300.0,18100.0,15300.0,0.0,22100.0,1360.0,0.0,40500.0,41100.0,13800.0,52800.0
9551,6750.0,262.0,0.0,0.0,6750.0,6940.0,0.0,1330.0,534.0,0.0,8640.0,9130.0,859.0,10000.0
9552,7550.0,337.0,0.0,0.0,7300.0,6920.0,0.0,1340.0,1860.0,0.0,9530.0,10300.0,498.0,12000.0
9553,6680.0,180.0,0.0,0.0,6580.0,7050.0,0.0,1420.0,422.0,0.0,8670.0,9030.0,798.0,9160.0
9554,6310.0,1220.0,0.0,0.0,11100.0,8600.0,0.0,10500.0,343.0,0.0,20700.0,21400.0,6590.0,27300.0
9555,4890.0,338.0,0.0,0.0,6990.0,6850.0,0.0,4950.0,1130.0,0.0,13100.0,14000.0,5710.0,19500.0
9556,13000.0,2010.0,0.0,0.0,17300.0,14200.0,0.0,6060.0,791.0,0.0,22100.0,24000.0,6430.0,32500.0
9557,7560.0,269.0,0.0,0.0,6940.0,6810.0,0.0,1770.0,602.0,0.0,9720.0,9800.0,2970.0,12200.0
